Tarih,Saat,Enlem(N),Boylam(E),Derinlik(km),ML
2024.03.31,23:55:31.94,40.1768,31.727,5.0,2.4
2024.03.31,23:54:10.15,38.2338,38.0417,3.0,1.5
2024.03.31,23:36:23.04,37.6655,37.4803,4.8,1.6
2024.03.31,23:16:15.32,40.2967,26.9988,2.7,1.6
2024.03.31,23:04:49.44,37.4222,36.9043,5.0,1.5
2024.03.31,22:54:00.26,36.0007,35.9073,14.0,1.2
2024.03.31,22:40:01.32,38.0935,37.779,5.9,2.1
2024.03.31,22:30:01.94,36.558,28.2788,7.3,2.8
2024.03.31,22:09:45.42,38.1598,37.8807,14.0,1.3
2024.03.31,22:06:17.84,40.4043,28.8455,8.5,2.1
2024.03.31,22:03:50.77,35.6315,29.1393,5.0,1.4
2024.03.31,21:54:13.72,37.8718,36.2648,5.4,2.2
2024.03.31,21:44:58.64,37.8867,26.9418,4.8,2.3
2024.03.31,21:00:10.38,37.5905,35.788,18.7,1.7
2024.03.31,20:47:01.05,37.0337,36.6018,5.0,1.7
2024.03.31,20:40:43.17,40.291,27.0263,12.1,2.1
2024.03.31,20:04:45.33,35.737,31.4002,21.4,3.2
2024.03.31,20:00:39.93,36.3977,27.1335,16.1,2.5
2024.03.31,19:28:23.71,38.1237,32.562,10.9,1.1
2024.03.31,19:14:55.97,38.3705,37.2982,9.0,1.7
2024.03.31,19:10:12.01,37.1637,36.9627,4.0,1.6
2024.03.31,18:58:24.61,36.015,28.0803,1.8,1.7
2024.03.31,17:42:56.48,37.3433,36.8873,5.4,1.2
2024.03.31,16:32:01.11,37.0458,29.0427,5.1,2.1
2024.03.31,16:28:05.17,40.7402,28.988,5.2,1.2
2024.03.31,15:59:42.96,39.6903,28.2135,7.6,1.6
2024.03.31,15:56:37.85,38.0002,37.506,6.0,2.8
2024.03.31,15:51:24.48,39.4267,26.3913,11.5,1.5
2024.03.31,15:26:34.52,38.5027,40.0457,5.0,1.7
2024.03.31,15:15:56.63,37.4235,42.6868,13.8,1.7
2024.03.31,14:34:02.71,37.7698,30.566,3.8,3.0
2024.03.31,14:05:12.46,40.3483,27.0432,8.9,2.6
2024.03.31,13:54:05.92,36.9338,28.3232,16.8,1.2
2024.03.31,13:53:28.48,36.6985,36.408,5.5,2.2
2024.03.31,13:51:40.22,36.9168,28.3093,19.3,1.5
2024.03.31,13:09:04.27,37.1678,36.0498,9.8,1.9
2024.03.31,12:21:53.63,37.5657,37.2893,4.7,2.0
2024.03.31,11:26:00.78,38.8922,27.3705,8.2,1.6
2024.03.31,11:25:25.72,39.2128,27.1928,19.2,1.8
2024.03.31,09:33:13.57,40.3095,27.0207,6.5,3.7
2024.03.31,07:42:55.94,39.516,28.9002,9.3,2.5
2024.03.31,07:26:26.27,38.7837,37.462,4.6,1.9
2024.03.31,07:25:05.79,38.1115,38.4935,5.0,1.9
2024.03.31,07:19:30.58,35.337,27.5947,7.7,3.0
2024.03.31,06:54:29.57,38.4085,37.4772,6.2,1.5
2024.03.31,06:42:20.52,38.0802,37.4267,7.1,2.1
2024.03.31,06:14:16.66,38.6137,37.3082,6.5,1.6
2024.03.31,06:09:54.44,35.4895,27.5945,9.6,1.6
2024.03.31,06:01:17.82,38.523,39.461,9.0,1.8
2024.03.31,05:56:26.43,38.2853,37.1355,5.0,1.6
2024.03.31,05:48:07.00,38.8553,27.9893,5.0,1.3
2024.03.31,05:33:21.12,38.1705,37.8565,4.9,2.0
2024.03.31,05:06:30.86,37.0673,27.9412,5.3,1.4
2024.03.31,04:59:49.71,38.0838,38.1253,5.4,1.3
2024.03.31,04:42:32.55,36.345,36.4452,12.0,1.2
2024.03.31,04:26:19.64,38.175,37.883,17.7,1.5
2024.03.31,04:07:44.48,36.9975,27.9787,4.8,1.0
2024.03.31,04:03:56.50,36.6052,36.4692,5.6,2.0
2024.03.31,03:42:05.34,36.9218,27.8287,2.0,1.3
2024.03.31,03:37:35.84,37.7438,36.677,11.2,1.1
2024.03.31,03:21:15.70,37.1295,35.3548,19.7,1.5
